mysqld, Version: 5.5.46-log (MySQL Community Server (GPL)). started with:
Tcp port: 0  Unix socket: /var/lib/mysql/mysql.sock
Time                 Id Command    Argument
230710 23:02:31	    1 Connect	root@172.20.0.3 on warpd
		    2 Query	SELECT `Menu`.`id`, `Menu`.`type`, `Menu`.`title`, `Menu`.`description`, `Menu`.`permission_controls`, `Menu`.`parent`, `Menu`.`required`, `Menu`.`menu_group`, `Menu`.`controller`, `Menu`.`action`, `Menu`.`icon`, `Menu`.`menu_name`, `Menu`.`order`, `Menu`.`created`, `Menu`.`created_by`, `Menu`.`deleted` FROM `warpd`.`menus` AS `Menu`   WHERE `id` = 49    LIMIT 1
		    2 Query	SELECT `Menu`.`id`, `Menu`.`type`, `Menu`.`title`, `Menu`.`description`, `Menu`.`permission_controls`, `Menu`.`parent`, `Menu`.`required`, `Menu`.`menu_group`, `Menu`.`controller`, `Menu`.`action`, `Menu`.`icon`, `Menu`.`menu_name`, `Menu`.`order`, `Menu`.`created`, `Menu`.`created_by`, `Menu`.`deleted` FROM `warpd`.`menus` AS `Menu`   WHERE `id` = 49    LIMIT 1
		    2 Query	SELECT `Menu`.`id`, `Menu`.`type`, `Menu`.`title`, `Menu`.`description`, `Menu`.`permission_controls`, `Menu`.`parent`, `Menu`.`required`, `Menu`.`menu_group`, `Menu`.`controller`, `Menu`.`action`, `Menu`.`icon`, `Menu`.`menu_name`, `Menu`.`order`, `Menu`.`created`, `Menu`.`created_by`, `Menu`.`deleted` FROM `warpd`.`menus` AS `Menu`   WHERE `id` = 47    LIMIT 1
		    2 Query	SELECT `Menu`.`id`, `Menu`.`type`, `Menu`.`title`, `Menu`.`description`, `Menu`.`permission_controls`, `Menu`.`parent`, `Menu`.`required`, `Menu`.`menu_group`, `Menu`.`controller`, `Menu`.`action`, `Menu`.`icon`, `Menu`.`menu_name`, `Menu`.`order`, `Menu`.`created`, `Menu`.`created_by`, `Menu`.`deleted` FROM `warpd`.`menus` AS `Menu`   WHERE `id` = 47    LIMIT 1
		    2 Query	SELECT `Menu`.`id`, `Menu`.`type`, `Menu`.`title`, `Menu`.`description`, `Menu`.`permission_controls`, `Menu`.`parent`, `Menu`.`required`, `Menu`.`menu_group`, `Menu`.`controller`, `Menu`.`action`, `Menu`.`icon`, `Menu`.`menu_name`, `Menu`.`order`, `Menu`.`created`, `Menu`.`created_by`, `Menu`.`deleted` FROM `warpd`.`menus` AS `Menu`   WHERE `id` = 47    LIMIT 1
		    2 Query	SELECT `Menu`.`id`, `Menu`.`type`, `Menu`.`title`, `Menu`.`description`, `Menu`.`permission_controls`, `Menu`.`parent`, `Menu`.`required`, `Menu`.`menu_group`, `Menu`.`controller`, `Menu`.`action`, `Menu`.`icon`, `Menu`.`menu_name`, `Menu`.`order`, `Menu`.`created`, `Menu`.`created_by`, `Menu`.`deleted` FROM `warpd`.`menus` AS `Menu`   WHERE `id` = 114    LIMIT 1
		    2 Query	SELECT `Menu`.`id`, `Menu`.`type`, `Menu`.`title`, `Menu`.`description`, `Menu`.`permission_controls`, `Menu`.`parent`, `Menu`.`required`, `Menu`.`menu_group`, `Menu`.`controller`, `Menu`.`action`, `Menu`.`icon`, `Menu`.`menu_name`, `Menu`.`order`, `Menu`.`created`, `Menu`.`created_by`, `Menu`.`deleted` FROM `warpd`.`menus` AS `Menu`   WHERE `id` = 47    LIMIT 1
		    2 Query	SELECT `Menu`.`id`, `Menu`.`type`, `Menu`.`title`, `Menu`.`description`, `Menu`.`permission_controls`, `Menu`.`parent`, `Menu`.`required`, `Menu`.`menu_group`, `Menu`.`controller`, `Menu`.`action`, `Menu`.`icon`, `Menu`.`menu_name`, `Menu`.`order`, `Menu`.`created`, `Menu`.`created_by`, `Menu`.`deleted` FROM `warpd`.`menus` AS `Menu`   WHERE `id` = 114    LIMIT 1
		    2 Query	SELECT `Menu`.`id`, `Menu`.`type`, `Menu`.`title`, `Menu`.`description`, `Menu`.`permission_controls`, `Menu`.`parent`, `Menu`.`required`, `Menu`.`menu_group`, `Menu`.`controller`, `Menu`.`action`, `Menu`.`icon`, `Menu`.`menu_name`, `Menu`.`order`, `Menu`.`created`, `Menu`.`created_by`, `Menu`.`deleted` FROM `warpd`.`menus` AS `Menu`   WHERE `id` = 47    LIMIT 1
		    2 Query	SELECT `Menu`.`id`, `Menu`.`type`, `Menu`.`title`, `Menu`.`description`, `Menu`.`permission_controls`, `Menu`.`parent`, `Menu`.`required`, `Menu`.`menu_group`, `Menu`.`controller`, `Menu`.`action`, `Menu`.`icon`, `Menu`.`menu_name`, `Menu`.`order`, `Menu`.`created`, `Menu`.`created_by`, `Menu`.`deleted` FROM `warpd`.`menus` AS `Menu`   WHERE `id` = 114    LIMIT 1
