Id,Rate Category Id,Rate Category,Distance,Rate
0,3,Rates for White Products,374,0.678144
0,3,Rates for White Products,375,0.678899
0,3,Rates for White Products,376,0.679654
0,3,Rates for White Products,377,0.680408
0,3,Rates for White Products,378,0.681163
0,3,Rates for White Products,379,0.681917
0,3,Rates for White Products,380,0.682672
0,3,Rates for White Products,381,0.683427
0,3,Rates for White Products,382,0.684181
0,3,Rates for White Products,383,0.684936
0,3,Rates for White Products,384,0.68569
0,3,Rates for White Products,385,0.686445
0,3,Rates for White Products,386,0.6872
0,3,Rates for White Products,387,0.687954
0,3,Rates for White Products,388,0.688709
0,3,Rates for White Products,389,0.689463
0,3,Rates for White Products,390,0.690218
0,3,Rates for White Products,391,0.690973
0,3,Rates for White Products,392,0.691727
0,3,Rates for White Products,393,0.692482
0,3,Rates for White Products,394,0.693236
0,3,Rates for White Products,395,0.693991
0,3,Rates for White Products,396,0.694746
0,3,Rates for White Products,397,0.6955
0,3,Rates for White Products,398,0.696255
0,3,Rates for White Products,399,0.697009
0,3,Rates for White Products,400,0.697764
0,3,Rates for White Products,401,0.698519
0,3,Rates for White Products,402,0.699273
0,3,Rates for White Products,403,0.700028
0,3,Rates for White Products,404,0.700782
0,3,Rates for White Products,405,0.701537
0,3,Rates for White Products,406,0.702292
0,3,Rates for White Products,407,0.703046
0,3,Rates for White Products,408,0.703801
0,3,Rates for White Products,409,0.704555
0,3,Rates for White Products,410,0.70531
0,3,Rates for White Products,411,0.706065
0,3,Rates for White Products,412,0.706819
0,3,Rates for White Products,413,0.707574
0,3,Rates for White Products,414,0.708328
0,3,Rates for White Products,415,0.709083
0,3,Rates for White Products,416,0.709838
0,3,Rates for White Products,417,0.710592
0,3,Rates for White Products,418,0.711347
0,3,Rates for White Products,419,0.712101
0,3,Rates for White Products,420,0.712856
0,3,Rates for White Products,421,0.713611
0,3,Rates for White Products,422,0.714365
0,3,Rates for White Products,423,0.71512
0,3,Rates for White Products,424,0.715874
0,3,Rates for White Products,425,0.716629
0,3,Rates for White Products,426,0.717384
0,3,Rates for White Products,427,0.718138
0,3,Rates for White Products,428,0.718893
0,3,Rates for White Products,429,0.719647
0,3,Rates for White Products,430,0.720402
0,3,Rates for White Products,431,0.721157
0,3,Rates for White Products,432,0.721911
0,3,Rates for White Products,433,0.722666
0,3,Rates for White Products,434,0.72342
0,3,Rates for White Products,435,0.724175
0,3,Rates for White Products,436,0.72493
0,3,Rates for White Products,437,0.725684
0,3,Rates for White Products,438,0.726439
0,3,Rates for White Products,439,0.727193
0,3,Rates for White Products,440,0.727948
0,3,Rates for White Products,441,0.728703
0,3,Rates for White Products,442,0.729457
0,3,Rates for White Products,443,0.730212
0,3,Rates for White Products,444,0.730966
0,3,Rates for White Products,445,0.731721
0,3,Rates for White Products,446,0.732476
0,3,Rates for White Products,447,0.73323
0,3,Rates for White Products,448,0.733985
0,3,Rates for White Products,449,0.734739
0,3,Rates for White Products,450,0.735494
0,3,Rates for White Products,451,0.736249
0,3,Rates for White Products,452,0.737003
0,3,Rates for White Products,453,0.737758
0,3,Rates for White Products,454,0.738512
0,3,Rates for White Products,455,0.739267
0,3,Rates for White Products,456,0.740022
0,3,Rates for White Products,457,0.740776
0,3,Rates for White Products,458,0.741531
0,3,Rates for White Products,459,0.742285
0,3,Rates for White Products,460,0.74304
0,3,Rates for White Products,461,0.743795
0,3,Rates for White Products,462,0.744549
0,3,Rates for White Products,463,0.745304
0,3,Rates for White Products,464,0.746058
0,3,Rates for White Products,465,0.746813
0,3,Rates for White Products,466,0.747568
0,3,Rates for White Products,467,0.748322
0,3,Rates for White Products,468,0.749077
0,3,Rates for White Products,469,0.749831
0,3,Rates for White Products,470,0.750586
0,3,Rates for White Products,471,0.751341
0,3,Rates for White Products,472,0.752095
0,3,Rates for White Products,473,0.75285
0,3,Rates for White Products,474,0.753604
0,3,Rates for White Products,475,0.754359
0,3,Rates for White Products,476,0.755114
0,3,Rates for White Products,477,0.755868
0,3,Rates for White Products,478,0.756623
0,3,Rates for White Products,479,0.757377
0,3,Rates for White Products,480,0.758132
0,3,Rates for White Products,481,0.758887
0,3,Rates for White Products,482,0.759641
0,3,Rates for White Products,483,0.760396
0,3,Rates for White Products,484,0.76115
0,3,Rates for White Products,485,0.761905
0,3,Rates for White Products,486,0.76266
0,3,Rates for White Products,487,0.763414
0,3,Rates for White Products,488,0.764169
0,3,Rates for White Products,489,0.764923
0,3,Rates for White Products,490,0.765678
0,3,Rates for White Products,491,0.766433
0,3,Rates for White Products,492,0.767187
0,3,Rates for White Products,493,0.767942
0,3,Rates for White Products,494,0.768696
0,3,Rates for White Products,495,0.769451
0,3,Rates for White Products,496,0.770206
0,3,Rates for White Products,497,0.77096
0,3,Rates for White Products,498,0.771715
0,3,Rates for White Products,499,0.77247
0,3,Rates for White Products,500,0.773224
0,3,Rates for White Products,501,0.773853
0,3,Rates for White Products,502,0.774482
0,3,Rates for White Products,503,0.775111
0,3,Rates for White Products,504,0.775739
0,3,Rates for White Products,505,0.776368
0,3,Rates for White Products,506,0.776997
0,3,Rates for White Products,507,0.777626
0,3,Rates for White Products,508,0.778255
0,3,Rates for White Products,509,0.778884
0,3,Rates for White Products,510,0.779512
0,3,Rates for White Products,511,0.780141
0,3,Rates for White Products,512,0.78077
0,3,Rates for White Products,513,0.781399
0,3,Rates for White Products,514,0.782028
0,3,Rates for White Products,515,0.782657
0,3,Rates for White Products,516,0.783285
0,3,Rates for White Products,517,0.783914
0,3,Rates for White Products,518,0.784543
0,3,Rates for White Products,519,0.785172
0,3,Rates for White Products,520,0.785801
0,3,Rates for White Products,521,0.78643
0,3,Rates for White Products,522,0.787058
0,3,Rates for White Products,523,0.787687
0,3,Rates for White Products,524,0.788316
0,3,Rates for White Products,525,0.788945
0,3,Rates for White Products,526,0.789574
0,3,Rates for White Products,527,0.790203
0,3,Rates for White Products,528,0.790831
0,3,Rates for White Products,529,0.79146
